mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,stop_time,stop_name,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 03:05:00+00,Ballardvale,place-WR-0205,10,0,7,50,2081
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 23:09:00+00,Abington,place-PB-0194,6,0,129,359,2082
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:21:00+00,Halifax,place-PB-0281,3,59,0,253,2083
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:26:00+00,Hanson,place-PB-0245,4,114,0,367,2084
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:31:00+00,Whitman,place-PB-0212,5,131,0,498,2085
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:35:00+00,Abington,place-PB-0194,6,205,1,702,2086
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:36:00+00,Kingston,place-KB-0351,2,138,,138,2087
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:42:00+00,South Weymouth,place-PB-0158,7,127,1,828,2088
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:46:00+00,Halifax,place-PB-0281,3,64,0,202,2089
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:50:00+00,Braintree,place-brntn,8,22,13,837,2090
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:51:00+00,Hanson,place-PB-0245,4,79,0,281,2091
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:56:00+00,Whitman,place-PB-0212,5,84,1,364,2092
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:00:00+00,Abington,place-PB-0194,6,147,1,510,2093
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:03:00+00,JFK/UMass,place-jfk,10,5,105,737,2094
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:05:00+00,South Weymouth,place-PB-0158,7,150,1,659,2095
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:10:00+00,South Station,place-sstat,11,,737,,2096
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:13:00+00,Braintree,place-brntn,8,23,10,672,2097
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:27:00+00,JFK/UMass,place-jfk,10,3,26,649,2098
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:35:00+00,South Station,place-sstat,11,,649,,2099
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:37:00+00,Kingston,place-KB-0351,2,26,,26,2100
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:47:00+00,Halifax,place-PB-0281,3,23,0,49,2101
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:52:00+00,Hanson,place-PB-0245,4,22,0,71,2102
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 13:57:00+00,Whitman,place-PB-0212,5,,,71,2103
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 14:01:00+00,Abington,place-PB-0194,6,39,1,109,2104
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 14:06:00+00,South Weymouth,place-PB-0158,7,60,3,166,2105
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 14:14:00+00,Braintree,place-brntn,8,5,9,162,2106
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 14:27:00+00,JFK/UMass,place-jfk,10,1,22,141,2107
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 14:34:00+00,South Station,place-sstat,11,,141,,2108
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 15:08:00+00,Plymouth,place-PB-0356,1,0,,0,2109
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 15:48:00+00,Kingston,place-KB-0351,2,21,,21,2110
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 15:58:00+00,Halifax,place-PB-0281,3,7,0,28,2111
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 16:03:00+00,Hanson,place-PB-0245,4,8,0,36,2112
